id,label,status,external_string,,,,
1,2020 - ACAPULCO,scheduled,1002,,,,
2,2020 - DOHA,scheduled,1003,,,,
3,2020 - RABAT,scheduled,1005,,,,
4,2020 - NEW YORK,scheduled,1017,,,,
5,2019 - BEIJING,scheduled,1020,,,,
6,2019 - GUANGZHOU,scheduled,1023,,,,
7,2019 - SEOUL,scheduled,1024,,,,
8,2019 - ISTANBUL,scheduled,1027,,,,
9,2020 - MADRID,scheduled,1038,,,,
10,2020 - MONTERREY,scheduled,1039,,,,
11,2020 - WASHINGTON DC,scheduled,1045,,,,
12,2020 - AUCKLAND,scheduled,1049,,,,
13,2020 - HOBART,scheduled,1050,,,,
14,2020 - STUTTGART,scheduled,1051,,,,
15,2020 - BIRMINGHAM,scheduled,1052,,,,
16,2019 - OSAKA,scheduled,1056,,,,
17,2019 - TAIPEI,scheduled,1059,,,,
18,2020 - SHENZHEN,scheduled,1063,,,,
19,2019 - NÜRNBERG,scheduled,1068,,,,
20,2019 - LIMOGES,scheduled,1072,,,,
21,2019 - WUHAN,scheduled,1075,,,,
22,2019 - TIANJIN,scheduled,1076,,,,
23,2019 - NANCHANG,scheduled,1077,,,,
24,2020 - BUCHAREST,scheduled,1079,,,,
25,2020 - NOTTINGHAM,scheduled,1080,,,,
26,2019 - ZHUHAI,scheduled,1081,,,,
27,2020 - PRAGUE,scheduled,1082,,,,
28,2020 - ST. PETERSBURG,scheduled,1086,,,,
29,2020 - BOL,scheduled,1090,,,,
30,2019 - MALLORCA,scheduled,1091,,,,
31,2020 - LAUSANNE,scheduled,1094,,,,
32,2020 - HUA HIN,scheduled,1096,,,,
33,2020 - DEBRECEN,scheduled,1097,,,,
34,2019 - LUGANO,scheduled,1101,,,,
35,2020 - NEWPORT BEACH,scheduled,1102,,,,
36,2020 - INDIAN WELLS 125K,scheduled,1103,,,,
37,2019 - ANNING,scheduled,1104,,,,
38,2019 - HOUSTON,scheduled,2001,,,,
39,2020 - GUADALAJARA,scheduled,2002,,,,
40,2020 - BASTAD,scheduled,2003,,,,
41,2020 - KARLSRUHE,scheduled,2004,,,,
42,2020 - JURMALA,scheduled,2006,,,,
43,2020 - NEW HAVEN 125K,scheduled,2007,,,,
44,2019 - ZHENGZHOU,scheduled,2008,,,,
45,2019 - BRONX,scheduled,2010,,,,
46,2019 - LUXEMBOURG,scheduled,300,,,,
47,2019 - HIROSHIMA,scheduled,405,,,,
48,2020 - STRASBOURG,scheduled,406,,,,
49,2020 - PALERMO,scheduled,466,,,,
50,2020 - LINZ,scheduled,528,,,,
51,2020 - INDIAN WELLS,scheduled,609,,,,
52,2019 - SYDNEY,scheduled,702,,,,
53,2020 - SAN JOSE,scheduled,703,,,,
54,2020 - ROME,scheduled,709,,,,
55,2020 - EASTBOURNE,scheduled,710,,,,
56,2020 - DUBAI,scheduled,718,,,,
57,2019 - MOSCOW,scheduled,730,,,,
58,2020 - BRISBANE,scheduled,800,,,,
59,2020 - CHARLESTON,scheduled,804,,,,
60,2020 - MONTREAL,scheduled,806,,,,
61,2019 - WTA FINALS,scheduled,808,,,,
62,2020 - 'S-HERTOGENBOSCH,scheduled,822,,,,
63,2019 - TASHKENT,scheduled,825,,,,
64,2020 - BOGOTA,scheduled,894,,,,
65,2020 - AUSTRALIAN OPEN,scheduled,901,,,,
66,2020 - MIAMI,scheduled,902,,,,
67,2020 - ROLAND GARROS,scheduled,903,,,,
68,2020 - WIMBLEDON,scheduled,904,,,,
69,2020 - US OPEN,scheduled,905,,,,
70,2020 - LYON,scheduled,2011,,,,
71,2020 - ADELAIDE,scheduled,2014,,,,
72,2020 - BERLIN,scheduled,2012,,,,
73,2020 - BAD HOMBURG,scheduled,2017,,,,
74,2020 - ISTANBUL,scheduled,2020,,,,
75,2020 - ALBANY,scheduled,2013,,,,
76,2020 - WARSAW,scheduled,2016,,,,
77,2020 - LEXINGTON,scheduled,2022,,,,
78,2020 - Prague 125K,scheduled,2023,,,,
79,2020 - Portschach,scheduled,2024,,,,
80,2020 - Ostrava,scheduled,2025,,,,
81,2020 - MELBOURNE 500,scheduled,2026,,,,
82,2020 - MELBOURNE 250,scheduled,2027,,,,
83,2020 - ABU DHABI,scheduled,2028,,,,
84,2020 - ADELAIDE 500,scheduled,2030,,,,
86,2020 - MELBOURNE 500,scheduled,2029,,,,
87,2020 - MELBOURNE 500,scheduled,2032,,,,
88,2021 - DOHA,scheduled,2021_1003,,,,
89,2021 - MONTERREY,scheduled,2021_1039,,,,
90,2021 - ST. PETERSBURG,scheduled,2021_1086,,,,
91,2021 - GUADALAJARA,scheduled,2021_2002,,,,
92,2021 - LYON,scheduled,2021_2011,,,,
93,2021 - MELBOURNE 500 YARRA VALLEY,scheduled,2021_2026,,,,
94,2021 - MELBOURNE 250,scheduled,2021_2027,,,,
95,2021 - ABU DHABI,scheduled,2021_2028,,,,
96,2021 - MELBOURNE 500 GIPPSLAND TROPHY,scheduled,2021_2029,,,,
97,2021 - ADELAIDE 500,scheduled,2021_2030,,,,
98,2021 - MELBOURNE 500 GRAMPIANS TROPHY,scheduled,2021_2032,,,,
99,2021 - DUBAI,scheduled,2021_718,,,,
100,2021 - CHARLESTON,scheduled,2021_804,,,,
101,2021 - BOGOTA,scheduled,2021_894,,,,
102,2021 - AUSTRALIAN OPEN,scheduled,2021_901,,,,
103,2021 - MIAMI,scheduled,2021_902,,,,
104,2021 - MADRID,scheduled,2021_1038,,,,
105,2021 - STUTTGART,scheduled,2021_1051,,,,
106,2021 - ISTANBUL,scheduled,2021_2020,,,,
107,2021 - ROME,scheduled,2021_709,,,,
108,2021 - CHARLESTON 250,scheduled,2021_2033,,,,
109,2021 - SAINT-MALO,scheduled,2021_2034,,,,
110,2021 - BOL 125,scheduled,2021_1090,,,,
111,2021 - BELGRADE,scheduled,2021_2035,,,,
112,2021 - STRASBOURG,scheduled,2021_406,,,,
113,2021 - ROLAND-GARROS,scheduled,2021_903,,,,
114,2021 - PARMA,scheduled,2021_2041,,,,
115,2021 - NOTTINGHAM,scheduled,2021_1080,,,,
116,2021 - BIRMINGHAM,scheduled,2021_1052,,,,
117,2021 - BERLIN,scheduled,2021_2012,,,,
118,2021 - BAD HOMBURG,scheduled,2021_2017,,,,
119,2021 - EASTBOURNE,scheduled,2021_710,,,,
120,2021 - WIMBLEDON,scheduled,2021_904,,,,
121,2021 - PRAGUE,scheduled,2021_1082,,,,
122,2021 - LAUSANNE,scheduled,2021_1094,,,,
123,2021 - BASTAD 125,scheduled,2021_2003,,,,
124,2021 - BUDAPEST,scheduled,2021_2036,,,,
125,2021 - GDYNIA,scheduled,2021_2037,,,,
126,2021 - BELGRADE 125,scheduled,2021_2038,,,,
127,2021 - CHARLESTON 125,scheduled,2021_2039,,,,
128,2021 - HAMBURG,scheduled,2021_2042,,,,
129,2021 - PALERMO,scheduled,2021_466,,,,
130,2021 - CLUJ-NAPOCA,scheduled,2021_2043,,,,
131,2021 - CONCORD 125,scheduled,2021_2045,,,,
132,2021 - SAN JOSE,scheduled,2021_703,,,,
133,2021 - CINCINNATI,scheduled,2021_1017,,,,
134,2021 - CHICAGO 125,scheduled,2021_2000,,,,
135,2021 - CLEVELAND,scheduled,2021_2040,,,,
136,2021 - CHICAGO 250,scheduled,2021_2047,,,,
137,2021 - OLYMPICS,scheduled,2021_650,,,,
138,2021 - MONTREAL,scheduled,2021_806,,,,
139,2021 - US OPEN,scheduled,2021_905,,,,
140,2021 - KARLSRUHE 125,scheduled,2021_2004,,,,
141,2021 - SEOUL 125,scheduled,2021_1024,,,,
142,2021 - OSTRAVA,scheduled,2021_2025,,,,
143,2021 - PORTOROZ,scheduled,2021_2044,,,,
144,2021 - CHICAGO 500,scheduled,2021_2048,,,,
145,2021 - LUXEMBOURG,scheduled,2021_300,,,,
146,2021 - INDIAN WELLS,scheduled,2021_609,,,,
147,2021 - NUR-SULTAN,scheduled,2021_2053,,,,
148,2021 - COLUMBUS 125,scheduled,2021_2054,,,,
149,2021 - MIDLAND 125,scheduled,2021_2051,,,,
150,2021 - BUENOS AIRES 125,scheduled,2021_2052,,,,
151,2021 - MONTEVIDEO 125,scheduled,2021_2055,,,,
152,2021 - LINZ,scheduled,2021_528,,,,
153,2021 - LIMOGES 125,scheduled,2021_1072,,,,
154,2021 - COURMAYEUR,scheduled,2021_2046,,,,
155,2021 - TENERIFE,scheduled,2021_2049,,,,
156,2021 - CLUJ-NAPOCA,scheduled,2021_2050,,,,
157,2021 - ANGERS 125,scheduled,2021_2056,,,,
158,2021 - MOSCOW,scheduled,2021_730,,,,
159,2021 - WTA FINALS,scheduled,2021_808,,,,
160,2022 - DOHA,scheduled,2022_1003,,,,
161,2022 - MONTERREY,scheduled,2022_1039,,,,
162,2022 - STUTTGART,scheduled,2022_1051,,,,
163,2022 - ST. PETERSBURG,scheduled,2022_1086,,,,
164,2022 - GUADALAJARA,scheduled,2022_2002,,,,
165,2022 - LYON,scheduled,2022_2011,,,,
166,2022 - ADELAIDE 500,scheduled,2022_2014,,,,
167,2022 - ISTANBUL,scheduled,2022_2020,,,,
168,2022 - ADELAIDE 250,scheduled,2022_2030,,,,
169,2022 - MELBOURNE 250 #1,scheduled,2022_2058,,,,
170,2022 - SYDNEY,scheduled,2022_2060,,,,
171,2022 - INDIAN WELLS,scheduled,2022_609,,,,
172,2022 - DUBAI,scheduled,2022_718,,,,
173,2022 - CHARLESTON,scheduled,2022_804,,,,
174,2022 - BOGOTA,scheduled,2022_894,,,,
175,2022 - AUSTRALIAN OPEN,scheduled,2022_901,,,,
176,2022 - MIAMI,scheduled,2022_902,,,,
177,2022 - MELBOURNE 250 #2,scheduled,2022_2059,,,,
178,2022 - RABAT,scheduled,2022_1005,,,,
179,2022 - MADRID,scheduled,2022_1038,,,,
180,2022 - STRASBOURG,scheduled,2022_406,,,,
181,2022 - ROME,scheduled,2022_709,,,,
182,2022 - ROLAND GARROS,scheduled,2022_903,,,,
183,2022 - MAKARSKA 125,scheduled,2022_1090,,,,
184,2022 - KARLSRUHE 125,scheduled,2022_2004,,,,
185,2022 - SAINT MALO 125,scheduled,2022_2034,,,,
186,2022 - PARIS 125,scheduled,2022_2057,,,,
187,2022 - MARBELLA 125,scheduled,2022_2069,,,,
188,2022 - BIRMINGHAM,scheduled,2022_1052,,,,
189,2022 - NOTTINGHAM,scheduled,2022_1080,,,,
190,2022 - PRAGUE,scheduled,2022_1082,,,,
191,2022 - LAUSANNE,scheduled,2022_1094,,,,
192,2022 - BASTAD 125,scheduled,2022_2003,,,,
193,2022 - BERLIN,scheduled,2022_2012,,,,
194,2022 - BAD HOMBURG,scheduled,2022_2017,,,,
195,2022 - BUDAPEST,scheduled,2022_2036,,,,
196,2022 - WARSAW,scheduled,2022_2037,,,,
197,2022 - HAMBURG,scheduled,2022_2042,,,,
198,2022 - VALENCIA 125,scheduled,2022_2061,,,,
199,2022 - GAIBA 125,scheduled,2022_2062,,,,
200,2022 - CONTREXEVILLE 125,scheduled,2022_2071,,,,
201,2022 - PALERMO,scheduled,2022_466,,,,
202,2022 - EASTBOURNE,scheduled,2022_710,,,,
203,2022 - S'HERTOGENBOSCH,scheduled,2022_822,,,,
204,2022 - WIMBLEDON,scheduled,2022_904,,,,
205,2022 - CINCINNATI,scheduled,2022_1017,,,,
206,2022 - WASHINGTON DC,scheduled,2022_1045,,,,
207,2022 - CLEVELAND,scheduled,2022_2040,,,,
208,2022 - CONCORD 125,scheduled,2022_2045,,,,
209,2022 - IASI 125,scheduled,2022_2063,,,,
210,2022 - VANCOUVER 125,scheduled,2022_2064,,,,
211,2022 - GRANBY,scheduled,2022_2070,,,,
212,2022 - SAN JOSE,scheduled,2022_703,,,,
213,2022 - TORONTO,scheduled,2022_806,,,,
214,2022 - US OPEN,scheduled,2022_905,,,,
215,2022 - BARI 125,scheduled,2022_2077,,,,
216,2022 - SEOUL,scheduled,2022_1024,,,,
217,2022 - TOKYO,scheduled,2022_1056,,,,
218,2022 - PORTOROZ,scheduled,2022_2044,,,,
219,2022 - BUDAPEST 125,scheduled,2022_2065,,,,
220,2022 - CHENNAI,scheduled,2022_2078,,,,
221,2022 - BUCHAREST 125,scheduled,2022_2079,,,,
222,2022 - OSTRAVA,scheduled,2022_2025,,,,
223,2022 - PARMA,scheduled,2022_2041,,,,
224,2022 - CLUJ-NAPOCA,scheduled,2022_2050,,,,
225,2022 - ROUEN 125,scheduled,2022_2066,,,,
226,2022 - MONASTIR,scheduled,2022_2072,,,,
227,2022 - TALLINN,scheduled,2022_2073,,,,
228,2022 - SAN DIEGO,scheduled,2022_2074,,,,
229,2022 - GUADALAJARA,scheduled,2022_2075,,,,
230,2022 - LIMOGES 125,scheduled,2022_1072,,,,
231,2022 - MIDLAND 125,scheduled,2022_2051,,,,
232,2022 - BUENOS AIRES 125,scheduled,2022_2052,,,,
233,2022 - MONTEVIDEO 125,scheduled,2022_2055,,,,
234,2022 - ANGERS 125,scheduled,2022_2056,,,,
235,2022 - TAMPICO 125,scheduled,2022_2067,,,,
236,2022 - COLINA 125,scheduled,2022_2076,,,,
237,2022 - WTA FINALS,scheduled,2022_808,,,,
238,2022 - ANDORRA 125,scheduled,2022_2080,,,,
239,2023 - AUCKLAND,scheduled,2023_1049,,,,
240,2023 - HOBART,scheduled,2023_1050,,,,
241,2023 - ADELAIDE #2,scheduled,2023_2014,,,,
242,2023 - UNITED CUP,scheduled,2023_2084,,,,
243,2023 - ADELAIDE #1,scheduled,2023_800,,,,
244,2023 - AUSTRALIAN OPEN,scheduled,2023_901,,,,
245,2023 - DOHA,scheduled,2023_1003,,,,
246,2023 - MONTERREY,scheduled,2023_1039,,,,
247,2023 - CALI 125,scheduled,2023_1065,,,,
248,2023 - HUA HIN,scheduled,2023_1096,,,,
249,2023 - LYON,scheduled,2023_2011,,,,
250,2023 - AUSTIN,scheduled,2023_2082,,,,
251,2023 - MÉRIDA,scheduled,2023_2085,,,,
252,2023 - LINZ,scheduled,2023_528,,,,
253,2023 - INDIAN WELLS,scheduled,2023_609,,,,
254,2023 - DUBAI,scheduled,2023_718,,,,
255,2023 - ABU DHABI,scheduled,2023_2088,,,,
256,2023 - CHARLESTON,scheduled,2023_804,,,,
257,2023 - BOGOTA,scheduled,2023_894,,,,
258,2023 - MIAMI,scheduled,2023_902,,,,
259,2023 - STUTTGART,scheduled,2023_1051,,,,
260,2023 - ISTANBUL,scheduled,2023_2020,,,,
261,2023 - SAN LUIS POTOSI 125,scheduled,2023_2089,,,,
262,2023 - MADRID,scheduled,2023_1038,,,,
263,2023 - SAINT MALO 125,scheduled,2023_2034,,,,
264,2023 - REUS 125,scheduled,2023_2081,,,,
265,2023 - RABAT,scheduled,2023_1005,,,,
266,2023 - BIRMINGHAM,scheduled,2023_1052,,,,
267,2023 - NOTTINGHAM,scheduled,2023_1080,,,,
268,2023 - MAKARSKA 125,scheduled,2023_1090,,,,
269,2023 - BERLIN,scheduled,2023_2012,,,,
270,2023 - BAD HOMBURG,scheduled,2023_2017,,,,
271,2023 - PARIS 125,scheduled,2023_2057,,,,
272,2023 - VALENCIA 125,scheduled,2023_2061,,,,
273,2023 - GAIBA 125,scheduled,2023_2062,,,,
274,2023 - LA BISBAL D'EMPORDÁ 125,scheduled,2023_2086,,,,
275,2023 - FLORENCE 125,scheduled,2023_2090,,,,
276,2023 - STRASBOURG,scheduled,2023_406,,,,
277,2023 - ROME,scheduled,2023_709,,,,
278,2023 - EASTBOURNE,scheduled,2023_710,,,,
279,2023 - S'HERTOGENBOSCH,scheduled,2023_822,,,,
280,2023 - ROLAND GARROS,scheduled,2023_903,,,,
281,2023 - WIMBLEDON,scheduled,2023_904,,,,
282,2023 - LAUSANNE,scheduled,2023_1094,,,,
283,2023 - BASTAD 125,scheduled,2023_2003,,,,
284,2023 - BUDAPEST,scheduled,2023_2036,,,,
285,2023 - WARSAW,scheduled,2023_2037,,,,
286,2023 - HAMBURG,scheduled,2023_2042,,,,
287,2023 - IASI 125,scheduled,2023_2063,,,,
288,2023 - CONTREXEVILLE 125,scheduled,2023_2071,,,,
289,2023 - PALERMO,scheduled,2023_466,,,,
290,2023 - BODRUM,scheduled,2023_4707,,,,
291,2023 - WASHINGTON DC,scheduled,2023_1045,,,,
292,2023 - PRAGUE,scheduled,2023_1082,,,,
293,2023 - CINCINNATI,scheduled,2023_1017,,,,
294,2023 - KOZERKI 125,scheduled,2023_2087,,,,
295,2023 - STANFORD 125,scheduled,2023_2091,,,,
296,2023 - MONTREAL,scheduled,2023_806,,,,
297,2023 - BARI 125,scheduled,2023_2077,,,,
298,2023 - BARRANQUILLA 125,scheduled,2023_2093,,,,
299,2023 - US OPEN,scheduled,2023_905,,,,
300,2023 - CLEVELAND,scheduled,2023_2040,,,,
301,2023 - CHICAGO 125,scheduled,2023_2000,,,,
302,2023 - BEIJING,scheduled,2023_1020,,,,
303,2023 - GUANGZHOU,scheduled,2023_1023,,,,
304,2023 - SEOUL,scheduled,2023_1024,,,,
305,2023 - TOKYO,scheduled,2023_1056,,,,
306,2023 - HONG KONG,scheduled,2023_1074,,,,
307,2023 - ZHENGZHOU,scheduled,2023_2008,,,,
308,2023 - PARMA 125,scheduled,2023_2041,,,,
309,2023 - LJUBLJANA 125,scheduled,2023_2044,,,,
310,2023 - ROUEN 125,scheduled,2023_2066,,,,
311,2023 - SAN DIEGO,scheduled,2023_2074,,,,
312,2023 - GUADALAJARA,scheduled,2023_2075,,,,
313,2023 - BUCHAREST 125,scheduled,2023_2079,,,,
314,2023 - NINGBO,scheduled,2023_2092,,,,
315,2023 - OSAKA,scheduled,2023_405,,,,
316,2023 - NANCHANG,scheduled,2023_1077,,,,
317,2023 - CLUJ-NAPOCA,scheduled,2023_2050,,,,
318,2023 - MIDLAND 125,scheduled,2023_2051,,,,
319,2023 - TAMPICO 125,scheduled,2023_2067,,,,
320,2023 - MONASTIR,scheduled,2023_2072,,,,
321,2023 - AGUASCALIENTES 125,scheduled,2023_2095,,,,
,2023 - ZHUHAI,,2023_1081,,,,
,2023 - WTA FINALS,,2023_808,,,,
,2023 - COLINA 125,,2023_2076,,,,
,2023 - FLORIANOPOLIS 125,,2023_2094,,,,
,2023 - ANDORRA 125,,2023_2080,,,,
,2023 - BUENOS AIRES 125,,2023_2052,,,,
,2023 - MONTEVIDEO 125,,2023_2055,,,,
,2023 - ANGERS 125,,2023_2056,,,,
,2023 - LIMOGES 125,,2023_1072,,,,
,2024 - UNITED CUP,,2024_2084,,,,
,2024 - BRISBANE,,2024_800,,,,
,2024 - AUCKLAND,,2024_1049,,,,
,2024 - CANBERRA 125,,2024_2096,,,,
,2024 - ADELAIDE,,2024_2014,,,,
,2024 - HOBART,,2024_1050,,,,
,2024 - AUSTRALIAN OPEN,,2024_901,,,,
,2024 - HUA HIN,,2024_1096,,,,
,2024 - LINZ,,2024_528,,,,
,2024 - CLUJ-NAPOCA,,2024_2050,,,,
,2024 - MUMBAI 125,,2024_1100,,,,
,2024 - ABU DHABI,,2024_2088,,,,
,2024 - DOHA,,2024_1003,,,,
,2024 - PUERTO VALLARTA 125,,2024_1108,,,,
,2024 - DUBAI,,2024_718,,,,
,2024 - SAN LUIS POTOSI 125,,2024_2089,,,,
,2024 - BARRANQUILLA 125,,2024_2093,,,,
